USA,"42,791,421","+150,403","690,680 ","+1,904","32,417,869","+70,143","9,682,872","25,180","333,352,517 "
India,"33,415,889","+35,367","444,563 ",+285,"32,624,718","+33,850","346,608","8,944","1,396,420,400 "
Brazil,"21,102,536","+33,519","589,744 ",+467,"20,180,106","+7,042","332,686","8,318","214,388,345 "
UK,"7,371,301","+32,651","134,983 ",+178,"5,934,018","+26,989","1,302,300","1,020","68,317,775 "
Russia,"7,234,425","+19,905","196,626 ",+791,"6,469,017","+16,619","568,782","2,300","146,010,273 "
France,"6,942,105","+7,373","115,960 ",+66,"6,612,964","+17,525","213,181","2,000","65,448,457 "
Turkey,"6,794,700","+27,692","61,140 ",+237,"6,285,887","+23,197","447,673",633,"85,436,960 "
Iran,"5,396,013","+17,605","116,436 ",+364,"4,708,195","+25,491","571,382","6,902","85,293,089 "
Argentina,"5,237,159","+2,308","114,286 ",+185,"5,090,449","+3,329","32,424","1,593","45,697,620 "
Colombia,"4,937,596","+1,544","125,826 ",+44,"4,776,169","+1,508","35,601",542,"51,539,005 "
Spain,"4,929,546","+3,222","85,783 ",+44,"4,633,527","+8,475","210,236","1,028","46,776,718 "
Italy,"4,627,699","+4,552","130,233 ",+50,"4,383,195","+6,549","114,271",525,"60,354,092 "
Indonesia,"4,185,144","+3,835","140,138 ",+219,"3,976,064","+7,912","68,942",,"277,022,752 "
Germany,"4,139,009","+9,871","93,517 ",+63,"3,873,700","+10,700","171,792","1,217","84,108,395 "
Mexico,"3,549,229","+7,040","270,346 ",+434,"2,897,667","+9,051","381,216","4,798","130,571,586 "
Poland,"2,896,599",+652,"75,473 ",+8,"2,658,812",+176,"162,314",101,"37,796,384 "
South Africa,"2,877,063","+3,648","85,952 ",+173,"2,714,565","+8,272","76,546",546,"60,213,034 "
Ukraine,"2,338,164","+6,624","54,750 ",+99,"2,228,543","+1,914","54,871",177,"43,415,221 "
Philippines,"2,324,475","+20,336","36,328 ",+310,"2,100,039","+10,028","188,108","3,170","111,344,765 "
Peru,"2,165,533","+1,153","198,948 ",+57,N/A,N/A,N/A,"1,041","33,527,206 "
Malaysia,"2,067,327","+17,577","22,743 ",+388,"1,823,245","+22,967","221,339","1,204","32,867,499 "
Netherlands,"1,981,252","+2,138","18,107 ",+10,"1,891,114","+2,770","72,031",195,"17,180,794 "
Iraq,"1,970,746","+3,559","21,739 ",+56,"1,852,791","+6,633","96,216",608,"41,312,156 "
Czechia,"1,685,435",+550,"30,427 ",,"1,649,999",+10,"5,009",29,"10,733,046 "
Japan,"1,663,024","+5,990","17,030 ",+71,"1,551,847","+11,889","94,147","1,615","126,007,204 "
Chile,"1,646,403",+583,"37,318 ",+25,"1,603,006",+303,"6,079",460,"19,314,780 "
Canada,"1,569,186","+5,097","27,370 ",+45,"1,497,434","+3,815","44,382",638,"38,142,609 "
Bangladesh,"1,540,110","+1,907","27,147 ",+38,"1,497,009","+2,919","15,954","1,464","166,674,560 "
Thailand,"1,448,792","+14,555","15,124 ",+171,"1,304,247","+13,691","129,421","4,387","70,012,115 "
Pakistan,"1,218,749","+2,928","27,072 ",+68,"1,125,952","+13,716","65,725","4,960","226,073,338 "
Belgium,"1,217,473","+2,359","25,494 ",+8,"1,129,393","+1,411","62,586",214,"11,650,700 "
Israel,"1,211,443","+3,040","7,494 ",+29,"1,122,876","+5,849","81,073",661,"9,326,000 "
Sweden,"1,144,982",,"14,734 ",,"1,100,821","+1,250","29,427",39,"10,175,500 "
Romania,"1,139,505","+4,478","35,359 ",+73,"1,075,499","+1,947","28,647",762,"19,082,095 "
Portugal,"1,060,432","+1,023","17,895 ",+7,"1,007,911","+1,555","34,626",97,"10,160,676 "
Morocco,"915,835","+2,412","13,828 ",+53,"876,600","+3,624","25,407",834,"37,439,729 "
Kazakhstan,"854,742","+3,081","10,611 ",+62,"779,869","+4,763","64,262",221,"19,048,361 "
Serbia,"853,686","+7,572","7,698 ",+34,"749,953","+1,691","96,035",163,"8,694,712 "
Switzerland,"823,074","+2,095","11,010 ",,"736,388","+3,293","75,676",257,"8,731,231 "
Hungary,"817,159",+479,"30,123 ",+5,"779,777",+344,"7,259",41,"9,630,623 "
Jordan,"812,253",+790,"10,594 ",+8,"789,231",+833,"12,428",507,"10,325,688 "
Cuba,"784,416","+8,291","6,676 ",+75,"730,673",,"47,067",464,"11,318,239 "
Nepal,"783,075","+1,086","11,012 ",+10,"746,566","+1,351","25,497",,"29,769,997 "
UAE,"731,828",+521,"2,071 ",+2,"723,337",+614,"6,420",,"10,034,934 "
Austria,"720,455","+2,364","10,882 ",+12,"686,324","+1,776","23,249",202,"9,068,613 "
Tunisia,"698,427","+1,006","24,415 ",+10,"668,561",+489,"5,451",402,"11,968,233 "
Vietnam,"667,650","+11,521","16,637 ",+212,"433,465","+9,914","217,548",,"98,398,396 "
Greece,"627,314","+2,231","14,394 ",+40,"585,597","+1,241","27,323",352,"10,361,337 "
Lebanon,"617,036",+857,"8,228 ",+4,"578,357","+1,685","30,451",200,"6,788,395 "
Georgia,"591,766","+2,039","8,446 ",+56,"556,810","+2,192","26,510",,"3,979,888 "
Saudi Arabia,"546,411",+75,"8,651 ",+6,"535,373",+64,"2,387",378,"35,469,239 "
Guatemala,"525,161","+4,068","12,947 ",+40,"471,892","+3,676","40,322",5,"18,315,953 "
Belarus,"512,460","+1,979","3,978 ",+12,"500,051","+1,396","8,431",,"9,445,557 "
Ecuador,"505,860",,"32,559 ",,"443,880",,"29,421",759,"17,966,916 "
Costa Rica,"502,362",,"5,919 ",,"404,719",,"91,724",489,"5,150,407 "
Sri Lanka,"500,772","+2,078","11,938 ",+121,"429,776","+1,186","59,058",,"21,521,970 "
Bolivia,"496,354",+322,"18,628 ",+12,"449,553",+849,"28,173",220,"11,865,558 "
Bulgaria,"480,777","+1,892","19,955 ",+79,"421,842","+2,432","38,980",395,"6,885,021 "
Azerbaijan,"467,173",,"6,227 ",,"423,705",,"37,241",,"10,249,766 "
Panama,"463,459",,"7,166 ",,"451,966",,"4,327",108,"4,396,867 "
Paraguay,"459,580",+56,"16,123 ",+3,"441,362",+193,"2,095",40,"7,238,502 "
Myanmar,"442,928","+2,187","16,944 ",+75,"393,459","+2,191","32,525",,"54,851,338 "
Kuwait,"411,081",+63,"2,437 ",+1,"407,712",+92,932,20,"4,346,925 "
Slovakia,"401,250",+902,"12,569 ",+3,"382,966",+232,"5,715",54,"5,462,846 "
Croatia,"389,654","+1,394","8,481 ",+9,"373,182","+1,037","7,991",77,"4,074,574 "
Uruguay,"387,449",+150,"6,046 ",,"379,739",+166,"1,664",11,"3,488,309 "
Palestine,"381,854","+2,219","3,890 ",+19,"345,836","+2,485","32,128",80,"5,244,560 "
Ireland,"372,687","+1,386","5,179 ",,"321,571","+1,644","45,937",73,"5,004,508 "
Honduras,"356,707",+765,"9,452 ",+14,"108,225",,"239,030",530,"10,095,013 "
Dominican Republic,"354,716",+273,"4,027 ",+2,"345,706",+250,"4,983",139,"10,979,527 "
Denmark,"354,068",+324,"2,622 ",+3,"345,411",+587,"6,035",24,"5,816,904 "
Venezuela,"352,055",,"4,261 ",,"336,034",,"11,760",681,"28,338,293 "
Ethiopia,"330,494","+1,759","5,090 ",+31,"296,352",+748,"29,052",789,"118,399,958 "
Libya,"329,824",+968,"4,490 ",+10,"244,991","+1,319","80,343",,"6,984,275 "
Lithuania,"313,692","+1,197","4,763 ",+6,"290,984",+746,"17,945",145,"2,676,203 "
Oman,"303,309",,"4,092 ",,"293,618",,"5,599",27,"5,263,331 "
Egypt,"295,639",+588,"16,935 ",+14,"249,082",+657,"29,622",90,"104,666,103 "
S. Korea,"281,938","+2,008","2,389 ",+3,"254,094","+2,056","25,455",332,"51,322,637 "
Slovenia,"281,687","+1,143","4,492 ",+6,"264,759",+604,"12,436",51,"2,079,284 "
Moldova,"280,175","+1,032","6,578 ",+9,"265,946",+802,"7,651",103,"4,022,601 "
Bahrain,"274,107",+66,"1,388 ",,"271,905",+130,814,2,"1,772,816 "
Mongolia,"269,476","+2,796","1,083 ",+9,"250,200","+4,212","18,193",192,"3,342,099 "
Armenia,"252,082",+759,"5,101 ",+26,"235,030",+614,"11,951",,"2,969,952 "
Kenya,"245,781",+444,"4,965 ",+4,"236,169",+700,"4,647",119,"55,201,322 "
Qatar,"235,304",+117,604 ,,"232,952",+135,"1,748",18,"2,807,805 "
Bosnia and Herzegovina,"225,857",+995,"10,203 ",+42,"192,218",,"23,436",,"3,256,078 "
Zambia,"208,353",+86,"3,637 ",+1,"203,853",+145,863,60,"19,004,876 "
Nigeria,"201,294",+337,"2,649 ",+2,"189,608",+262,"9,037",11,"212,305,008 "
Algeria,"201,224",+235,"5,670 ",+19,"137,598",+188,"57,956",24,"44,807,768 "
North Macedonia,"186,010",+560,"6,396 ",+29,"166,606",+507,"13,008",,"2,083,270 "
Norway,"181,195",+763,841 ,,"88,952",,"91,402",19,"5,472,547 "
Kyrgyzstan,"177,567",+83,"2,583 ",+2,"172,015",+113,"2,969",131,"6,654,285 "
Botswana,"172,252",,"2,343 ",,"167,318",,"2,591",1,"2,408,974 "
Uzbekistan,"167,268",+624,"1,179 ",+4,"160,421",+977,"5,668",23,"34,055,641 "
Albania,"161,324",+959,"2,569 ",+6,"145,845",+891,"12,910",3,"2,873,989 "
Afghanistan,"154,532",+45,"7,195 ",+9,"122,080",+340,"25,257","1,124","39,986,744 "
Mozambique,"149,906",+102,"1,903 ",+1,"145,013",+138,"2,990",32,"32,311,495 "
